Brand,Type,Material,color,FromNewSeason,ManufacturingCountry,Description,Price
Ferragamo,Backpacks,calf leather,lipstick red,,Made in Italy,0,1081
Karl Lagerfeld,Shoulder Bags,charm detail,black,,,1,182
Love Moschino,Messenger & Crossbody Bags,gold-tone logo plaque,jet black,,,0,78
See by Chloé,Messenger & Crossbody Bags,leather,motty grey,New Season,,1,366
Stella McCartney,Tote Bags,faux-leather,tan brown,Conscious,Made in Italy,1,899
Stella McCartney,Messenger & Crossbody Bags,,,Conscious,Made in Italy,0,593
Stella McCartney,Shoulder Bags,faux leather,platinum-tone,Conscious,Made in Italy,1,1499
Jacquemus,Tote Bags,calf leather,light brown,New Season,Made in Italy,1,743
Balenciaga,Tote Bags,lambskin,candy pink/black/white,Conscious,Made in Italy,1,746
Jimmy Choo,Tote Bags,calf leather,black,,Made in Italy,1,1895
MACH & MACH,Mini Bags,bow detailing,light pink,,Made in Italy,1,577
Tommy Hilfiger,Tote Bags,faux leather,navy blue,,,0,158
Kate Spade,Tote Bags,calf leather,black,New Season,,0,452
Versace,Tote Bags,leather,pink,,Made in Italy,1,2038
Calvin Klein,Tote Bags,,,,,0,167
Versace Jeans Couture,Tote Bags,gold-tone logo plaque,black,,,0,153
Furla,Tote Bags,calf leather/calf suede,dark brown,,,0,420
Themoirè,Messenger & Crossbody Bags,calf leather,turquoise,Conscious,Made in Italy,0,221
Vivienne Westwood,Tote Bags,calf leather,black,New Season,Made in Italy,0,755
Manu Atelier,Shoulder Bags,calf leather,mocha,New Season,,0,474
Balenciaga,Messenger & Crossbody Bags,leather,neon green,Conscious,Made in Italy,0,840
PINKO,Mini Bags,glitter detailing,gold-tone,New Season,,1,234
See by Chloé,Shoulder Bags,,,,,0,445
Casablanca,Tote Bags,leather/canvas,sun yellow/white ,,Made in Italy,0,745
A.P.C.,Shoulder Bags,,,,,0,279
Balenciaga,Shoulder Bags,calf leather,light pink,Conscious,Made in Italy,0,1650
Maison Kitsuné,Tote Bags,cotton,ecru,New Season,,0,75
SANDRO,Messenger & Crossbody Bags,foldover top,black,,,0,201
Jacquemus,Tote Bags,calf suede,navy blue,New Season,Made in Italy,0,899
DKNY,Messenger & Crossbody Bags,,,,,0,264
DKNY,Messenger & Crossbody Bags,,,,,0,172
Michael Michael Kors,Messenger & Crossbody Bags,calf leather/calf suede,cream white,,,0,234
Coccinelle,Messenger & Crossbody Bags,calf leather,jet black,,,0,192
Michael Michael Kors,Messenger & Crossbody Bags,calf leather,black/gold-tone,,,0,415
Kate Spade,Tote Bags,calf leather,garnet rose red,,,0,281
Lanvin,Shoulder Bags,lambskin,black,,Made in Italy,1,2426
BY FAR,Tote Bags,calf leather/cotton,jet black,,,0,399
Karl Lagerfeld Kids,Shoulder Bags,monogram print,black,,,0,275
Michael Michael Kors,Messenger & Crossbody Bags,calf leather/calf suede,husk brown,,,0,273
Michael Michael Kors,Tote Bags,,,,,0,428
MSGM,Tote Bags,embossed logo to the front,fluorescent green,,,0,205
Coccinelle,Tote Bags,calf leather,dark magenta,,,0,294
Valentino Garavani,Tote Bags,leather,dark pink,,,1,2582
Furla,Tote Bags,calf leather,beige,,,0,379
Chiara Ferragni,Shoulder Bags,faux leather,black/pink,,,0,312
Jacquemus,Mini Bags,calf leather,orange,New Season,,0,788
Tory Burch,Tote Bags,cotton,ivory white/brown,,,0,448
Kara,Shoulder Bags,hand-stitched chainmail,silver-tone,,,0,443
MSGM,Shoulder Bags,patent finish,black,,,0,187
Manu Atelier,Shoulder Bags,calf leather,coffee brown,,,0,357
Kara,Mini Bags,calf leather,black,,,0,558
3.1 Phillip Lim,Messenger & Crossbody Bags,calf leather ,black ,,,1,929
Themoirè,Messenger & Crossbody Bags,brushed effect,marine blue,Conscious,Made in Italy,0,180
Furla,Messenger & Crossbody Bags,leather,opal,,,1,290
Furla,Tote Bags,lambskin,pink,,,1,165
See by Chloé,Shoulder Bags,calf leather,black,,,0,474
GANNI,Tote Bags,recycled polyamide/recycled leather,pink/black,Conscious,,1,293
Versace,Tote Bags,leather,black,,Made in Italy,1,1918
ETRO,Shoulder Bags,calf leather,brown,,Made in Italy,0,1626
Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,black,,,1,108
Dolce & Gabbana,Tote Bags,calf leather,pink,,Made in Italy,0,1073
Valentino Garavani,Tote Bags,,,,Made in Italy,0,3053
Ferragamo,Tote Bags,calf leather,dark red,,Made in Italy,0,2873
Cult Gaia,Clutch Bags,pearlescent finish,ivory white,New Season,,0,378
Emporio Armani,Tote Bags,faux leather,lead grey,,,0,285
Versace Jeans Couture,Messenger & Crossbody Bags,gold-tone logo plaque,black,,,0,222
Coach,Shoulder Bags,calf leather blend,light brown/red,,,0,277
Gucci,Shoulder Bags,,,,Made in Italy,0,2405
MSGM,Belt Bags,faux leather,black,,,0,252
Tory Burch,Shoulder Bags,calf suede,oak tree green,,,0,603
Jacquemus,Shoulder Bags,calf leather,ivory white,,Made in Italy,1,1086
BY FAR,Shoulder Bags,,,,,0,342
Furla,Tote Bags,leather,grey,,,0,466
GANNI,Mini Bags,recycled polyester blend,citron pale yellow,Conscious,,0,162
Acne Studios,Tote Bags,cotton,black,New Season,Made in Italy,0,573
Michael Michael Kors,Messenger & Crossbody Bags,leather,black,,,0,349
MACH & MACH,Shoulder Bags,calf leather,rose pink,,Made in Italy,0,520
Missoni,Bucket Bags,multicolour,fern green,,Made in Italy,0,141
DKNY,Shoulder Bags,calf leather/canvas,brown/beige,New Season,,0,186
Balenciaga,Shoulder Bags,,,Conscious,Made in Italy,0,1300
Love Moschino,Messenger & Crossbody Bags,faux leather,black,,,0,189
DKNY,Tote Bags,calf leather,truffle brown,New Season,,0,256
Kenzo,Tote Bags,calf leather,red,,,0,270
Coccinelle,Messenger & Crossbody Bags,calf leather,light beige,,,0,324
GANNI,Shoulder Bags,main compartment,jet black,New Season,,0,270
Coach,Messenger & Crossbody Bags,calf leather,black,New Season,,0,285
Karl Lagerfeld,Backpacks,logo print to the front,black,New Season,,0,220
Chiara Ferragni,Tote Bags,velvet effect,lilac purple,,,0,201
Coccinelle,Tote Bags,abstract pattern print,dark green,,,0,270
Mulberry,Tote Bags,,,,,0,2065
LIU JO,Messenger & Crossbody Bags,faux leather,black,,,0,143
Valentino Garavani,Shoulder Bags,leather,ivory white,,Made in Italy,1,2417
MCM,Tote Bags,leather,cognac brown,New Season,,0,654
A.P.C.,Messenger & Crossbody Bags,calf leather,taupe grey,New Season,,1,713
Marc Jacobs,Tote Bags,,,,,0,655
Balenciaga,Belt Bags,,,Conscious,Made in Italy,0,1600
Marc Jacobs,Tote Bags,cotton,blue,,,1,550
Balmain,Shoulder Bags,calf leather,black,New Season,,1,1019
Balenciaga,Tote Bags,leather,geranium orange,Conscious,Made in Italy,0,1600
Michael Michael Kors,Mini Bags,leather,brown,,,0,301
Coperni,Tote Bags,calf leather,light yellow,,Made in Italy,0,571
Marc Jacobs,Tote Bags,leather,sage green,New Season,,1,599
Proenza Schouler White Label,Shoulder Bags,faux shearling,black,,,1,446
Love Moschino,Tote Bags,faux leather,taupe,,,0,256
Balenciaga,Messenger & Crossbody Bags,calf leather,red,Conscious,Made in Italy,1,2550
Love Moschino,Backpacks,gold-tone logo plaque,black,,,0,196
GANNI,Mini Bags,recycled cotton blend,black,New Season,,1,198
Saint Laurent,Tote Bags,canvas/leather,black/white,,Made in Italy,1,1890
3.1 Phillip Lim,Shoulder Bags,calf leather,aqua blue,,,1,538
Coccinelle,Tote Bags,calf leather,olive green,,,0,456
PINKO,Messenger & Crossbody Bags,,,,,1,346
Furla,Messenger & Crossbody Bags,leather,jasper green,,,0,201
Jimmy Choo,Tote Bags,leather,yellow,,Made in Italy,1,875
Ferragamo,Tote Bags,leather,rose pink,,Made in Italy,1,1524
ERL,Tote Bags,down-feather filling,rose pink/fuchsia pink/carrot orange,,,0,347
PINKO,Messenger & Crossbody Bags,sheepskin,black,,,1,306
Ferragamo,Tote Bags,leather,brown,,Made in Italy,1,1347
BY FAR,Tote Bags,bullhide leather,light olive green,,,1,325
JW Anderson,Tote Bags,,,Conscious,,0,227
GANNI,Tote Bags,,,New Season,,0,326
Marine Serre,Shoulder Bags,leather,black,,,1,236
Coccinelle,Tote Bags,calf leather,barley brown,,Made in Italy,0,302
Saint Laurent,Backpacks,calf leather,cream,,Made in Italy,1,2850
GANNI,Shoulder Bags,recycled polyester blend,black,Conscious,,1,275
Versace Jeans Couture,Shoulder Bags,gold-tone hardware,cloud white,New Season,,0,216
See by Chloé,Shoulder Bags,,,,,1,522
Coach,Shoulder Bags,calf leather,black,New Season,,1,413
MSGM,Tote Bags,mirco-logo detailing,white,,,0,480
Saint Laurent,Shoulder Bags,,,,Made in Italy,0,1690
Balenciaga,Tote Bags,metallic effect,silver,Conscious,Made in Italy,0,1300
Gucci,Bucket Bags,leather,light pink,New Season,Made in Italy,1,1935
Furla,Tote Bags,leather,brown,,,0,362
Jacquemus,Tote Bags,leather,white,New Season,Made in Italy,1,830
Love Moschino,Messenger & Crossbody Bags,,,,,0,120
Marc Jacobs,Shoulder Bags,leather,almond beige,New Season,,1,493
Stella McCartney,Mini Bags,crossbody strap,black,Conscious,Made in Italy,1,508
Marc Jacobs,Messenger & Crossbody Bags,leather,multicolour,New Season,,1,408
Marc Jacobs,Tote Bags,cotton,red,,,1,701
Karl Lagerfeld,Tote Bags,calf leather,fuchsia pink,,,0,167
Vivienne Westwood,Backpacks,calf leather,grey/black,Conscious,Made in Italy,0,863
Coach,Messenger & Crossbody Bags,calf leather,coral red,New Season,,0,358
Comme Des Garçons Wallet,Clutch Bags,,,,,0,156
Furla,Shoulder Bags,leather,black,,,1,223
Love Moschino,Shoulder Bags,,,,,0,120
Furla,Tote Bags,embossed logo to the front,grass,,,1,199
A.P.C.,Shoulder Bags,calf leather,grey,New Season,,1,851
JW Anderson,Messenger & Crossbody Bags,calf suede/lambskin,neon pink,,,1,218
Coach,Tote Bags,calfskin,black,,,1,552
Alexander Wang,Clutch Bags,crystal embellishment,silver-tone,,,1,1640
Bally,Tote Bags,leather,marine blue,,,0,365
Versace Jeans Couture,Clutch Bags,quilted,jet black,New Season,,0,186
Karl Lagerfeld,Tote Bags,faux-shearling trim,black,New Season,,0,312
Moschino Kids,Shoulder Bags,cotton,light blue/multicolour,,,0,358
Emporio Armani,Shoulder Bags,pebbled texture,rose pink,,,0,147
Zadig&Voltaire,Messenger & Crossbody Bags,calf leather,silver-tone,,,0,330
Plein Sport,Tote Bags,padded design,jet black,,,0,183
Marc Jacobs,Tote Bags,faux-fur detail,mint green,,,0,430
Moschino,Backpacks,gold-tone logo plaque,black,,Made in Italy,1,463
Marc Jacobs,Messenger & Crossbody Bags,,,,,0,408
Furla,Mini Bags,leather,baby blue/multicolour,,,0,192
Love Moschino,Tote Bags,logo plaque,light blue,,,0,99
DKNY,Tote Bags,,,,,0,264
Tommy Hilfiger,Messenger & Crossbody Bags,faux leather,blush beige,,,0,108
Kenzo,Backpacks,all-over floral print,black/multicolour,,,0,686
PINKO,Messenger & Crossbody Bags,sheepskin,rose pink,,,0,265
Love Moschino,Luggage,appliqué logo,black/white,,,0,270
Calvin Klein,Tote Bags,faux leather,black,,,0,164
Love Moschino,Tote Bags,,,,,0,223
Marc Jacobs,Tote Bags,calf leather,black/white,New Season,,1,408
Versace Jeans Couture,Shoulder Bags,all-over logo print,black/white,,,1,138
Elisabetta Franchi,Tote Bags,monogram jacquard,black/brown,New Season,Made in Italy,0,504
Saint Laurent,Tote Bags,sheepskin,cream,,Made in Italy,1,2890
Love Moschino,Messenger & Crossbody Bags,calf leather,black,,,0,138
Chloé,Messenger & Crossbody Bags,calf leather,brown,,,0,1187
Marc Jacobs,Messenger & Crossbody Bags,leather,caramel brown,New Season,,1,659
Tommy Hilfiger,Messenger & Crossbody Bags,calf leather,black,,,0,192
V°73,Tote Bags,faux leather,black,,,0,126
Love Moschino,Messenger & Crossbody Bags,quilted finish,black,,,0,120
Vivienne Westwood,Shoulder Bags,calf leather,black,New Season,Made in Italy,0,767
Saint Laurent,Clutch Bags,leather,black,,Made in Italy,0,995
Themoirè,Shoulder Bags,wool,blue,Conscious,Made in Italy,0,180
Philipp Plein,Clutch Bags,calf leather,black,,,0,392
Tommy Hilfiger,Tote Bags,calf leather,jet black,,,0,242
AMBUSH,Backpacks,leather,black,,Made in Italy,1,833
Themoirè,Clutch Bags,recycled polyurethane,teal green,Conscious,Made in Italy,0,273
Lanvin,Messenger & Crossbody Bags,leather/silk-blend,off-white,,Made in Italy,0,1072
Stella McCartney,Shoulder Bags,faux leather,red,Conscious,Made in Italy,1,546
CamperLab,Tote Bags,recycled polyester,black/multicolour,,,0,159
Michael Michael Kors,Shoulder Bags,all-over logo print,black/brown,,,1,255
Balenciaga,Tote Bags,,,Conscious,Made in Italy,0,1020
Zadig&Voltaire,Mini Bags,calf leather,silver-tone,,,0,210
Love Moschino,Tote Bags,,,,,0,117
Stella McCartney,Shoulder Bags,gold-tone hardware,pure white,Conscious,Made in Italy,1,1553
Supreme,Belt Bags,logo print to the front,royal blue,New Season,Made in United States,1,114
Moschino,Clutch Bags,,,,Made in Italy,0,2338
Furla,Mini Bags,leather,jet black,New Season,,0,342
LIU JO,Shoulder Bags,gold-tone logo plaque,mustard yellow,,,0,108
Polo Ralph Lauren,Messenger & Crossbody Bags,leather,maple/tobacco,,,0,489
Love Moschino,Clutch Bags,,,,,0,133
Furla,Messenger & Crossbody Bags,leather,black,New Season,,0,222
Stella McCartney,Tote Bags,two chain-link top handles,ecru beige,Conscious,Made in Italy,1,1025
PINKO,Messenger & Crossbody Bags,calf leather,white,New Season,,1,270
Karl Lagerfeld,Backpacks,recycled nylon,black,Conscious,,1,236
Alexander Wang,Tote Bags,calf leather,black,,,0,778
PINKO,Messenger & Crossbody Bags,sheepskin,jet black,New Season,,0,264
Kara,Shoulder Bags,calf leather,black,,Made in Italy,0,331
A.P.C.,Shoulder Bags,calf leather,terracotta orange,New Season,,1,767
Coach,Messenger & Crossbody Bags,calf leather,light beige,,,0,613
Michael Kors,Shoulder Bags,calf leather,light pink,New Season,,0,354
Reco,Mini Bags,leather,aqua blue,Conscious,,0,135
Bimba y Lola,Tote Bags,eyelet embellishment,black,,,0,168
A.P.C.,Shoulder Bags,calf leather,beige,New Season,,1,767
Mulberry,Tote Bags,,,,,0,1350
Jacquemus,Mini Bags,leather,black,,,1,712
Ferragamo,Tote Bags,,,,Made in Italy,0,1081
Yuzefi,Shoulder Bags,calf leather,black,,,0,307
Gucci,Shoulder Bags,leather,brown,,Made in Italy,1,3340
Marni,Shoulder Bags,,,,Made in Italy,0,504
Marc Jacobs,Messenger & Crossbody Bags,logo plaque,black,,,1,470
Balenciaga,Bucket Bags,,,Conscious,Made in Italy,0,2100
IRO,Messenger & Crossbody Bags,calf leather,black,,Made in Italy,0,544
Manu Atelier,Tote Bags,calf leather,beige,,,0,420
Marni,Tote Bags,,,,Made in Italy,0,1114
Saint Laurent,Tote Bags,leather,dark green,,Made in Italy,0,2850
Furla,Shoulder Bags,leather,royal blue/black,,,0,189
STAUD,Tote Bags,lamb fur,plum purple,,,0,405
Coach,Messenger & Crossbody Bags,,,,,0,525
Tommy Hilfiger,Shoulder Bags,faux leather,black,,,0,185
Saint Laurent,Messenger & Crossbody Bags,lambskin,sage green,,Made in Italy,1,2179
Wandler,Tote Bags,calf leather,pink,New Season,Made in Italy,0,833
Kate Spade,Tote Bags,gold-tone logo plaque,black,New Season,,1,224
Jimmy Choo,Tote Bags,,,,Made in Italy,0,1677
Chloé,Shoulder Bags,calf leather,beige,,Made in Italy,1,2311
Supreme,Shoulder Bags,camouflage pattern,woodland camo,New Season,Made in United States,1,135
Proenza Schouler,Messenger & Crossbody Bags,calf leather,chestnut brown,,Made in Italy,0,663
Saint Laurent,Bucket Bags,canvas,blue,,Made in Italy,1,2650
Off-White,Shoulder Bags,signature paperclip detail,lilac purple,,Made in Italy,1,956
Calvin Klein,Shoulder Bags,quilted panels,blush pink,,,0,150
Furla,Tote Bags,leather,spritz red/greige,,,0,252
Moschino,Shoulder Bags,gold-tone logo lettering,jet black,,,1,294
Kate Spade,Tote Bags,leather,milk beige,New Season,,1,452
Furla,Tote Bags,leather,olive green,,,0,344
Maison Margiela,Messenger & Crossbody Bags,,,,Made in Italy,0,647
Ferragamo,Tote Bags,calf leather,multicolour,,Made in Italy,0,1730
Furla,Messenger & Crossbody Bags,leather,black,New Season,,1,438
Balenciaga,Tote Bags,,,Conscious,Made in Italy,0,2050
Proenza Schouler White Label,Messenger & Crossbody Bags,calf suede,grey,,,1,280
BY FAR,Mini Bags,leather/cotton,light beige,,,0,347
Chiara Ferragni,Messenger & Crossbody Bags,signature Eyelike motif,light pink,,,0,252
Love Moschino,Clutch Bags,faux leather,taupe brown,,,0,130
Aspinal Of London,Shoulder Bags,leather,black,,,0,403
Furla,Messenger & Crossbody Bags,leather,black ,,,0,390
AMI Paris,Tote Bags,calf leather,burgundy red,,,0,1067
Vivienne Westwood,Tote Bags,calf leather,jet black,Conscious,Made in Italy,0,737
Kenzo,Tote Bags,,,,,0,254
Coperni,Bucket Bags,leather,black,,Made in Italy,0,528
Furla,Shoulder Bags,sequin embellishment,black,,,1,252
Burberry,Messenger & Crossbody Bags,cotton/leather,brown/beige,New Season,,1,1297
Jacquemus,Tote Bags,calf leather,beige/rose pink,,,1,450
Zadig&Voltaire,Shoulder Bags,calf leather,black,New Season,,1,603
Kenzo,Messenger & Crossbody Bags,logo patch to the front,black/grey,,,0,249
PINKO,Messenger & Crossbody Bags,lambskin,black,New Season,,1,354
Ferragamo,Tote Bags,leather,black,,Made in Italy,0,1934
Proenza Schouler,Shoulder Bags,lambskin,black,,Made in Italy,1,698
BY FAR,Shoulder Bags,,,,,0,683
Stella McCartney,Tote Bags,faux leather,lilac purple,New Season,Made in Italy,0,953
Zadig&Voltaire,Clutch Bags,calf leather,gold-tone,New Season,,1,542
Saint Laurent,Shoulder Bags,leather,brown,,,0,1050
Emporio Armani,Tote Bags,faux leather,red,,,1,210
PINKO,Tote Bags,calf leather,white,New Season,,1,396
Saint Laurent,Clutch Bags,calf leather,black,,Made in Italy,1,1850
MSGM,Clutch Bags,faux leather,black/fluorescent yellow,,,0,379
Jimmy Choo,Clutch Bags,leather,champagne ,,Made in Italy,0,850
Saint Laurent,Shoulder Bags,leather,black,,Made in Italy,1,3250
Tommy Hilfiger,Tote Bags,ribbed panels ,black ,,,0,125
Karl Lagerfeld,Tote Bags,folded design,battleship grey,,,1,334
Gucci,Shoulder Bags,leather,grey,,Made in Italy,1,1605
Zadig&Voltaire,Shoulder Bags,calf leather/cotton,flash unique,,,1,440
Versace Jeans Couture,Messenger & Crossbody Bags,logo-buckle detail,black,,,1,196
Balenciaga,Tote Bags,leather,black,Conscious,,1,1350
Stella McCartney,Tote Bags,,,Conscious,Made in Italy,0,809
Acne Studios,Clutch Bags,calf leather,black,New Season,Made in Italy,0,679
Furla,Shoulder Bags,calf leather,black/brown,,Made in Italy,0,273
Dolce & Gabbana,Tote Bags,leather ,white ,,Made in Italy,1,1383
Furla,Tote Bags,calf leather,cognac brown,,,0,413
JW Anderson,Tote Bags,wool blend/calf leather,bordeaux,,,1,550
Zanellato,Tote Bags,calf leather,white/grey,,Made in Italy,0,356
Love Moschino,Tote Bags,,,,,0,114
Furla,Tote Bags,embossed logo to the front,flame pink,,,1,234
Alexander McQueen,Messenger & Crossbody Bags,leather ,ivory white ,,Made in Italy,1,1177
Proenza Schouler,Shoulder Bags,lambskin,off-white,,Made in Italy,0,593
Marni,Tote Bags,calf leather/cotton,navy blue/white/brown,,Made in Italy,0,679
Yuzefi,Tote Bags,leather,navy blue,,,0,374
Chiara Ferragni,Tote Bags,silver-tone hardware,silver-tone,,,0,376
Themoirè,Shoulder Bags,high-shine finish,tropea purple,Conscious,Made in Italy,0,239
Furla,Tote Bags,monogram jacquard,fuchsia pink,,,0,287
Love Moschino,Tote Bags,gold-tone logo plaque,black,,,0,108
Furla,Messenger & Crossbody Bags,leather,light red/cognac brown/beige,,Made in Italy,0,290
Michael Michael Kors,Messenger & Crossbody Bags,,,,Made in Italy,0,200
MM6 Maison Margiela,Shoulder Bags,logo patch to the front,dark green/black,,,0,224
Versace Jeans Couture,Messenger & Crossbody Bags,gold-tone hardware,black,,,0,174
Jil Sander,Shoulder Bags,calf leather,black,,Made in Italy,0,1870
Calvin Klein,Messenger & Crossbody Bags,faux leather,black,,,0,116
Balenciaga,Tote Bags,calf leather,black,Conscious,Made in Italy,0,1600
Altuzarra,Messenger & Crossbody Bags,lambskin,ivory white,,Made in Italy,0,703
Alexander McQueen,Backpacks,logo print embellishment,black/white/red,,,1,900
Coccinelle,Shoulder Bags,calf leather,black,,,0,204
Coach,Shoulder Bags,leather,pink,,,0,405
Furla,Tote Bags,calf leather,black/brown,,,0,289
Tory Burch,Tote Bags,leather,brown,,,1,703
Tory Burch,Messenger & Crossbody Bags,calf leather,pastel yellow,,,0,495
BY FAR,Shoulder Bags,patent calf leather,charcoal grey,,,0,336
STAND STUDIO,Tote Bags,wool,jet black,,,0,313
Wandler,Tote Bags,leather,carrot orange,Conscious,Made in Italy,0,583
Wandler,Shoulder Bags,calf leather,light brown,Conscious,Made in Italy,1,470
Tommy Hilfiger,Tote Bags,gold-tone hardware ,navy blue ,,,0,133
Michael Michael Kors,Shoulder Bags,linen/flax blend,light beige,,,0,280
Karl Lagerfeld,Messenger & Crossbody Bags,calfskin-blend,black/white/brown,,,0,209
Tory Burch,Tote Bags,cotton,ivory white/brown,,,1,253
Lauren Ralph Lauren,Tote Bags,calf leather,black,,,1,302
Love Moschino,Backpacks,quilted,jet black,,,0,284
BY FAR,Shoulder Bags,,,,,0,455
MSGM,Messenger & Crossbody Bags,faux leather,black,,,0,283
Marni,Tote Bags,leather/ cotton,green/ multicolour,,Made in Italy,0,495
Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,black,,,1,187
Love Moschino,Messenger & Crossbody Bags,logo plaque,forest green,,,0,105
PINKO,Messenger & Crossbody Bags,calf leather,black,,,1,315
Marc Jacobs,Tote Bags,leather,blood red,New Season,,1,495
Love Moschino,Messenger & Crossbody Bags,gold-tone logo lettering,tan brown,,,0,78
Emporio Armani Kids,Shoulder Bags,,,,,0,228
BY FAR,Shoulder Bags,stud embellishment,silver-tone,,,1,475
LIU JO,Messenger & Crossbody Bags,gold-tone hardware,deep pink,,,0,125
Coccinelle,Tote Bags,calf leather,black/white,,,0,270
Coach,Shoulder Bags,calf leather,cardinal red,New Season,,1,358
Versace Jeans Couture,Messenger & Crossbody Bags,faux leather,black,,,1,198
Coach,Tote Bags,leather,candy pink,,,1,267
Versace Jeans Couture,Tote Bags,faux leather,black,,,1,201
Gucci,Messenger & Crossbody Bags,leather,white ,,Made in Italy,1,1800
Marc Jacobs,Shoulder Bags,calf leather,light green,,,0,413
Michael Michael Kors,Messenger & Crossbody Bags,cotton,brown,,,1,236
Furla,Messenger & Crossbody Bags,embossed logo to the front,flame red,,,0,178
Versace Jeans Couture,Tote Bags,faux leather,black,,,1,234
Versace Jeans Couture,Messenger & Crossbody Bags,quilted finish,black,,,1,204
Marc Jacobs,Shoulder Bags,leather,black,New Season,,1,659
Coach,Tote Bags,leather,brown,New Season,,1,358
Balmain Kids,Shoulder Bags,metallic finish,black/silver-tone,,Made in Italy,0,446
A.P.C.,Shoulder Bags,gold-tone hardware,caramel brown,,,0,276
Hogan,Tote Bags,calf leather,brown,,,0,628
Elleme,Tote Bags,calf leather,military green,,,0,304
Gucci,Mini Bags,leather,light blue,,Made in Italy,1,985
Balenciaga,Mini Bags,calf leather,black,Conscious,Made in Italy,0,1800
MSGM,Clutch Bags,faux leather,silver-tone,,,0,382
Bimba y Lola,Tote Bags,logo-print strap,black,,,1,210
Furla,Laptop Bags,high-shine finish,orange/black,,,0,248
Furla,Tote Bags,leather,black,,Made in Italy,1,234
Versace Jeans Couture,Shoulder Bags,faux leather,black,New Season,,0,241
Valentino Garavani,Tote Bags,calf leather,black,,Made in Italy,1,1654
Furla,Messenger & Crossbody Bags,leather,fuchsia pink,,,0,252
Balenciaga,Messenger & Crossbody Bags,calf leather,rose pink,New Season,Made in Italy,0,1350
Furla,Shoulder Bags,leather,dark green,,,1,189
Alexander Wang,Belt Bags,logo-embellished shoulder strap,black,,,1,441
Jacquemus,Shoulder Bags,leather,pink,,,1,695
Lancel,Tote Bags,cotton/leather,white/multicolour,,Made in Italy,0,210
Kenzo,Backpacks,two adjustable shoulder straps,black,,,1,654
Coach,Tote Bags,leather/coated canvas,truffle black,,,1,545
PINKO,Messenger & Crossbody Bags,calf leather,black,New Season,,0,318
Stella McCartney,Tote Bags,faux leather,black,New Season,Made in Italy,1,891
Anya Hindmarch,Bag Accessories,,,,,0,35
Vivienne Westwood,Messenger & Crossbody Bags,calfskin,black,Conscious,Made in Italy,0,767
Tory Burch,Messenger & Crossbody Bags,leather ,black ,,,0,291
Moschino,Tote Bags,calf leather,light beige,,Made in Italy,0,716
John Richmond,Tote Bags,faux leather,black,,,0,130
BY FAR,Shoulder Bags,,,,,0,351
Marni,Shoulder Bags,calf leather,black,,Made in Italy,0,1152
Themoirè,Tote Bags,recycled PET,fuchsia pink,Conscious,Made in Italy,0,207
Gucci,Shoulder Bags,cotton/leather,beige/multicolour,New Season,Made in Italy,1,1870
Furla,Messenger & Crossbody Bags,leather,flame red,,,0,281
Stella McCartney,Shoulder Bags,faux leather,black,Conscious,Made in Italy,1,601
Kenzo,Tote Bags,calf leather,black/multicolour,,,1,700
Coach,Messenger & Crossbody Bags,monogram pattern,tan brown/rust brown,New Season,,1,360
Yuzefi,Tote Bags,calf leather,cashew brown,,,0,352
Jacquemus,Shoulder Bags,calf leather,pink,New Season,,0,821
Michael Michael Kors,Bucket Bags,leather,black,New Season,,0,510
Marc Jacobs,Messenger & Crossbody Bags,leather,light pink,,,1,435
Lancel,Tote Bags,calfskin leather,camel brown,,Made in Italy,1,603
JW Anderson,Messenger & Crossbody Bags,calf leather/calf suede,light blue/white,,,1,348
Zac Zac Posen,Messenger & Crossbody Bags,calf suede,burgundy,,,0,205
PINKO,Mini Bags,calf leather,red,New Season,,1,192
Marc Jacobs,Tote Bags,rectangle body,wasabi green,New Season,,0,288
See by Chloé,Tote Bags,calf leather,cement beige ,,,0,446
Coach,Tote Bags,calfskin,grey,,,1,381
PINKO,Tote Bags,,,,,0,626
Furla,Shoulder Bags,black,leather,New Season,,1,198
Tory Burch,Messenger & Crossbody Bags,straw,beige,,,0,648
Balenciaga,Clutch Bags,canvas/leather,black,Conscious,Made in Italy,1,425
Valentino Garavani,Shoulder Bags,leather,gold-tone,,Made in Italy,1,1692
JW Anderson,Shoulder Bags,lambskin,blue,,,1,707
Furla,Messenger & Crossbody Bags,leather,black,,,1,130
Versace Jeans Couture,Tote Bags,gold-tone hardware,black,,,1,207
Tila March,Shoulder Bags,suede,jet-black,,,0,227
Marc Jacobs,Bag Accessories,leather,black,,,0,240
Jacquemus,Shoulder Bags,leather,pink,,Made in Italy,1,878
Saint Laurent,Shoulder Bags,calf leather,dune brown,,Made in Italy,0,2400
Acne Studios,Shoulder Bags,calf suede,blue,New Season,Made in Italy,0,527
Marni,Tote Bags,calf leather ,white/black ,New Season,Made in Italy,0,348
Saint Laurent,Messenger & Crossbody Bags,,,,Made in France,0,1690
Chiara Ferragni,Shoulder Bags,signature Eyelike motif,black,,,1,190
Proenza Schouler,Messenger & Crossbody Bags,calf leather,bright red,,Made in Italy,1,1595
Balenciaga,Shoulder Bags,all-over logo print,black,Conscious,Made in Italy,0,2250
Gucci,Shoulder Bags,organic cotton/leather,blue,Conscious,Made in Italy,1,2725
